Hour Ending,ERCOT
1/1/2021 1:00:00,43719.849616
1/1/2021 2:00:00,43321.050347
1/1/2021 3:00:00,43063.067063
1/1/2021 4:00:00,43090.059203
1/1/2021 5:00:00,43486.590073
1/1/2021 6:00:00,44265.319522
1/1/2021 7:00:00,45290.288241
1/1/2021 8:00:00,45947.824447
1/1/2021 9:00:00,46090.642978
1/1/2021 10:00:00,46178.732104
1/1/2021 11:00:00,46022.210194
1/1/2021 12:00:00,45490.278259
1/1/2021 13:00:00,44600.609551
1/1/2021 14:00:00,43625.863405
1/1/2021 15:00:00,42757.790583
1/1/2021 16:00:00,42417.512364
1/1/2021 17:00:00,42760.422315
1/1/2021 18:00:00,44643.920344
1/1/2021 19:00:00,46301.362708
1/1/2021 20:00:00,46318.015757
1/1/2021 21:00:00,46024.185636
1/1/2021 22:00:00,45464.691844
1/1/2021 23:00:00,44236.673676
1/2/2021 0:00:00,42919.896014
1/2/2021 1:00:00,41716.424008
1/2/2021 2:00:00,40873.337879
1/2/2021 3:00:00,40493.864091
1/2/2021 4:00:00,40463.803261
1/2/2021 5:00:00,41042.988572
1/2/2021 6:00:00,42195.181181
1/2/2021 7:00:00,43824.638436
1/2/2021 8:00:00,45320.471629
1/2/2021 9:00:00,45845.890563
1/2/2021 10:00:00,45221.34728
1/2/2021 11:00:00,43769.847519
1/2/2021 12:00:00,42067.210507
1/2/2021 13:00:00,40259.022202
1/2/2021 14:00:00,38635.819055
1/2/2021 15:00:00,37481.713403
1/2/2021 16:00:00,36872.224736
1/2/2021 17:00:00,37106.585529
1/2/2021 18:00:00,38938.897413
1/2/2021 19:00:00,41922.3
1/2/2021 20:00:00,42738.371798
1/2/2021 21:00:00,43192.326831
1/2/2021 22:00:00,43073.294224
1/2/2021 23:00:00,42322.753219
1/3/2021 0:00:00,41407.986228
1/3/2021 1:00:00,40618.532403
1/3/2021 2:00:00,40119.318832
1/3/2021 3:00:00,40080.856984
1/3/2021 4:00:00,40360.32995
1/3/2021 5:00:00,40883.162848
1/3/2021 6:00:00,41949.652922
1/3/2021 7:00:00,43325.880427
1/3/2021 8:00:00,44422.819254
1/3/2021 9:00:00,44372.415366
1/3/2021 10:00:00,42951.538987
1/3/2021 11:00:00,41072.131167
1/3/2021 12:00:00,39366.147972
1/3/2021 13:00:00,37919.259694
1/3/2021 14:00:00,36711.395193
1/3/2021 15:00:00,35796.561978
1/3/2021 16:00:00,35455.937369
1/3/2021 17:00:00,35674.626435
1/3/2021 18:00:00,37227.888035
1/3/2021 19:00:00,39565.816481
1/3/2021 20:00:00,39953.792204
1/3/2021 21:00:00,39877.446175
1/3/2021 22:00:00,39376.58862
1/3/2021 23:00:00,38151.990665
1/4/2021 0:00:00,36836.825114
1/4/2021 1:00:00,35936.858941
1/4/2021 2:00:00,35623.02625
1/4/2021 3:00:00,35670.629311
1/4/2021 4:00:00,36214.154124
