month,chocolate
2004-01,35
2004-02,45
2004-03,28
2004-04,30
2004-05,29
2004-06,26
2004-07,27
2004-08,26
2004-09,29
2004-10,32
2004-11,45
2004-12,65
2005-01,40
2005-02,48
2005-03,36
2005-04,33
2005-05,38
2005-06,35
2005-07,54
2005-08,37
2005-09,31
2005-10,35
2005-11,46
2005-12,63
2006-01,39
2006-02,49
2006-03,32
2006-04,32
2006-05,31
2006-06,29
2006-07,29
2006-08,44
2006-09,39
2006-10,41
2006-11,50
2006-12,68
2007-01,44
2007-02,53
2007-03,37
2007-04,36
2007-05,38
2007-06,34
2007-07,36
2007-08,40
2007-09,37
2007-10,39
2007-11,45
2007-12,67
2008-01,41
2008-02,47
2008-03,38
2008-04,38
2008-05,37
2008-06,34
2008-07,33
2008-08,34
2008-09,33
2008-10,40
2008-11,47
2008-12,64
2009-01,40
2009-02,49
2009-03,38
2009-04,38
2009-05,37
2009-06,35
2009-07,36
2009-08,37
2009-09,35
2009-10,41
2009-11,56
2009-12,71
2010-01,42
2010-02,50
2010-03,41
2010-04,37
2010-05,41
2010-06,36
2010-07,36
2010-08,35
2010-09,38
2010-10,41
2010-11,48
2010-12,65
2011-01,47
2011-02,57
2011-03,42
2011-04,45
2011-05,41
2011-06,40
2011-07,39
2011-08,40
2011-09,40
2011-10,45
2011-11,55
2011-12,78
2012-01,49
2012-02,59
2012-03,43
2012-04,44
2012-05,46
2012-06,43
2012-07,42
2012-08,41
2012-09,45
2012-10,46
2012-11,58
2012-12,76
2013-01,50
2013-02,63
2013-03,48
2013-04,42
2013-05,45
2013-06,43
2013-07,42
2013-08,44
2013-09,42
2013-10,47
2013-11,58
2013-12,77
2014-01,55
2014-02,62
2014-03,47
2014-04,47
2014-05,44
2014-06,42
2014-07,41
2014-08,41
2014-09,40
2014-10,46
2014-11,60
2014-12,75
2015-01,51
2015-02,60
2015-03,46
2015-04,42
2015-05,42
2015-06,42
2015-07,42
2015-08,41
2015-09,42
2015-10,47
2015-11,56
2015-12,81
2016-01,55
2016-02,58
2016-03,47
2016-04,46
2016-05,47
2016-06,42
2016-07,44
2016-08,41
2016-09,43
2016-10,49
2016-11,56
2016-12,83
2017-01,52
2017-02,61
2017-03,51
2017-04,49
2017-05,45
2017-06,43
2017-07,46
2017-08,44
2017-09,44
2017-10,51
2017-11,58
2017-12,80
2018-01,55
2018-02,61
2018-03,51
2018-04,46
2018-05,45
2018-06,42
2018-07,44
2018-08,43
2018-09,44
2018-10,49
2018-11,61
2018-12,84
2019-01,55
2019-02,64
2019-03,50
2019-04,48
2019-05,44
2019-06,45
2019-07,44
2019-08,42
2019-09,43
2019-10,50
2019-11,59
2019-12,74
2020-01,56
2020-02,60
2020-03,49
2020-04,67
2020-05,61
2020-06,53
2020-07,49
2020-08,48
2020-09,46
2020-10,57
2020-11,65
2020-12,100
2021-01,59
2021-02,74
2021-03,52
2021-04,49
2021-05,45
2021-06,42
2021-07,44
2021-08,45
2021-09,42
2021-10,50
2021-11,61
2021-12,85
2022-01,64
2022-02,68
2022-03,52
2022-04,56
2022-05,48
2022-06,52
2022-07,47
2022-08,48
2022-09,47
2022-10,56
2022-11,70
2022-12,91
2023-01,60
2023-02,71
2023-03,58
2023-04,52
2023-05,50
2023-06,50
2023-07,49
2023-08,48
2023-09,48
2023-10,57
2023-11,68
2023-12,90
2024-01,64
2024-02,66
2024-03,59
2024-04,51
