unique_id,ds,y
AP-AP,2023-10-01 04:00:00+00:00,4042.513
AP-AP,2023-10-01 05:00:00+00:00,3850.067
AP-AP,2023-10-01 06:00:00+00:00,3734.2
AP-AP,2023-10-01 07:00:00+00:00,3687.402
AP-AP,2023-10-01 08:00:00+00:00,3679.819
AP-AP,2023-10-01 09:00:00+00:00,3689.471
AP-AP,2023-10-01 10:00:00+00:00,3779.78
AP-AP,2023-10-01 11:00:00+00:00,3900.555
AP-AP,2023-10-01 12:00:00+00:00,4080.014
AP-AP,2023-10-01 13:00:00+00:00,4236.845
AP-AP,2023-10-01 14:00:00+00:00,4376.898
AP-AP,2023-10-01 15:00:00+00:00,4517.897
AP-AP,2023-10-01 16:00:00+00:00,4699.892
AP-AP,2023-10-01 17:00:00+00:00,4847.522
AP-AP,2023-10-01 18:00:00+00:00,5033.562
AP-AP,2023-10-01 19:00:00+00:00,5219.154
AP-AP,2023-10-01 20:00:00+00:00,5408.729
AP-AP,2023-10-01 21:00:00+00:00,5514.52
AP-AP,2023-10-01 22:00:00+00:00,5425.429
AP-AP,2023-10-01 23:00:00+00:00,5397.942
AP-AP,2023-10-02 00:00:00+00:00,5210.421
AP-AP,2023-10-02 01:00:00+00:00,4892.788
AP-AP,2023-10-02 02:00:00+00:00,4536.414
AP-AP,2023-10-02 03:00:00+00:00,4254.791
AP-AP,2023-10-02 04:00:00+00:00,4043.349
AP-AP,2023-10-02 05:00:00+00:00,3942.014
AP-AP,2023-10-02 06:00:00+00:00,3875.905
AP-AP,2023-10-02 07:00:00+00:00,3884.968
AP-AP,2023-10-02 08:00:00+00:00,3959.682
AP-AP,2023-10-02 09:00:00+00:00,4169.299
AP-AP,2023-10-02 10:00:00+00:00,4548.913
AP-AP,2023-10-02 11:00:00+00:00,4788.007
AP-AP,2023-10-02 12:00:00+00:00,4851.242
AP-AP,2023-10-02 13:00:00+00:00,4969.945
AP-AP,2023-10-02 14:00:00+00:00,5077.454
AP-AP,2023-10-02 15:00:00+00:00,5265.985
AP-AP,2023-10-02 16:00:00+00:00,5443.089
AP-AP,2023-10-02 17:00:00+00:00,5663.128
AP-AP,2023-10-02 18:00:00+00:00,5807.694
AP-AP,2023-10-02 19:00:00+00:00,5973.899
AP-AP,2023-10-02 20:00:00+00:00,6146.857
AP-AP,2023-10-02 21:00:00+00:00,6220.038
AP-AP,2023-10-02 22:00:00+00:00,6068.316
AP-AP,2023-10-02 23:00:00+00:00,5998.34
AP-AP,2023-10-03 00:00:00+00:00,5736.992
AP-AP,2023-10-03 01:00:00+00:00,5375.587
AP-AP,2023-10-03 02:00:00+00:00,4961.052
AP-AP,2023-10-03 03:00:00+00:00,4620.556
